Chr1	chr1	1	NC_000001.11
Chr2	chr2	2	NC_000002.12
Chr3	chr3	3	NC_000003.12
Chr4	chr4	4	NC_000004.12
Chr5	chr5	5	NC_000005.10
Chr6	chr6	6	NC_000006.12
Chr7	chr7	7	NC_000007.14
Chr8	chr8	8	NC_000008.11
Chr9	chr9	9	NC_000009.12
Chr10	chr10	10	NC_000010.11
Chr11	chr11	11	NC_000011.10
Chr12	chr12	12	NC_000012.12
Chr13	chr13	13	NC_000013.11
Chr14	chr14	14	NC_000014.9
Chr15	chr15	15	NC_000015.10
Chr16	chr16	16	NC_000016.10
Chr17	chr17	17	NC_000017.11
Chr18	chr18	18	NC_000018.10
Chr19	chr19	19	NC_000019.10
Chr20	chr20	20	NC_000020.11
Chr21	chr21	21	NC_000021.9
Chr22	chr22	22	NC_000022.11
ChrX	chrX	X	NC_000023.11
ChrY	chrY	Y	NC_000024.10
ChrMT	chrMT	MT	NC_012920.1
